Time=0 | clk=0 | x=0 | y=0 | ce=0 | op=00 | reset=1 * out=0
Time=5000 | clk=1 | x=0 | y=0 | ce=0 | op=00 | reset=1 * out=0
Time=10000 | clk=0 | x=0 | y=0 | ce=0 | op=00 | reset=0 * out=0
Time=15000 | clk=1 | x=0 | y=0 | ce=0 | op=00 | reset=0 * out=0
Time=20000 | clk=0 | x=0 | y=0 | ce=1 | op=00 | reset=0 * out=0
Time=25000 | clk=1 | x=0 | y=0 | ce=1 | op=00 | reset=0 * out=0
Time=30000 | clk=0 | x=0 | y=1 | ce=0 | op=00 | reset=0 * out=1
Time=35000 | clk=1 | x=0 | y=1 | ce=0 | op=00 | reset=0 * out=1
Time=40000 | clk=0 | x=0 | y=1 | ce=1 | op=00 | reset=0 * out=1
Time=45000 | clk=1 | x=0 | y=1 | ce=1 | op=00 | reset=0 * out=1
Time=50000 | clk=0 | x=1 | y=0 | ce=0 | op=00 | reset=0 * out=1
Time=55000 | clk=1 | x=1 | y=0 | ce=0 | op=00 | reset=0 * out=1
Time=60000 | clk=0 | x=1 | y=0 | ce=1 | op=00 | reset=0 * out=1
Time=65000 | clk=1 | x=1 | y=0 | ce=1 | op=00 | reset=0 * out=1
Time=70000 | clk=0 | x=1 | y=1 | ce=0 | op=00 | reset=0 * out=0
Time=75000 | clk=1 | x=1 | y=1 | ce=0 | op=00 | reset=0 * out=0
Time=80000 | clk=0 | x=1 | y=1 | ce=1 | op=00 | reset=0 * out=0
Time=85000 | clk=1 | x=1 | y=1 | ce=1 | op=00 | reset=0 * out=1
Time=90000 | clk=0 | x=0 | y=0 | ce=1 | op=01 | reset=0 * out=0
Time=95000 | clk=1 | x=0 | y=0 | ce=1 | op=01 | reset=0 * out=0
Time=100000 | clk=0 | x=0 | y=0 | ce=0 | op=01 | reset=0 * out=0
Time=105000 | clk=1 | x=0 | y=0 | ce=0 | op=01 | reset=0 * out=0
Time=110000 | clk=0 | x=0 | y=1 | ce=0 | op=01 | reset=0 * out=0
Time=115000 | clk=1 | x=0 | y=1 | ce=0 | op=01 | reset=0 * out=0
Time=120000 | clk=0 | x=0 | y=1 | ce=1 | op=01 | reset=0 * out=0
Time=125000 | clk=1 | x=0 | y=1 | ce=1 | op=01 | reset=0 * out=0
Time=130000 | clk=0 | x=1 | y=0 | ce=0 | op=01 | reset=0 * out=1
Time=135000 | clk=1 | x=1 | y=0 | ce=0 | op=01 | reset=0 * out=1
Time=140000 | clk=0 | x=1 | y=0 | ce=1 | op=01 | reset=0 * out=1
Time=145000 | clk=1 | x=1 | y=0 | ce=1 | op=01 | reset=0 * out=1
Time=150000 | clk=0 | x=1 | y=1 | ce=0 | op=01 | reset=0 * out=1
Time=155000 | clk=1 | x=1 | y=1 | ce=0 | op=01 | reset=0 * out=1
Time=160000 | clk=0 | x=1 | y=1 | ce=1 | op=01 | reset=0 * out=1
Time=165000 | clk=1 | x=1 | y=1 | ce=1 | op=01 | reset=0 * out=1
Time=170000 | clk=0 | x=0 | y=0 | ce=1 | op=10 | reset=0 * out=0
Time=175000 | clk=1 | x=0 | y=0 | ce=1 | op=10 | reset=0 * out=0
Time=180000 | clk=0 | x=0 | y=0 | ce=0 | op=10 | reset=0 * out=0
Time=185000 | clk=1 | x=0 | y=0 | ce=0 | op=10 | reset=0 * out=0
Time=190000 | clk=0 | x=0 | y=1 | ce=0 | op=10 | reset=0 * out=1
Time=195000 | clk=1 | x=0 | y=1 | ce=0 | op=10 | reset=0 * out=1
Time=200000 | clk=0 | x=0 | y=1 | ce=1 | op=10 | reset=0 * out=1
Time=205000 | clk=1 | x=0 | y=1 | ce=1 | op=10 | reset=0 * out=1
Time=210000 | clk=0 | x=1 | y=0 | ce=0 | op=10 | reset=0 * out=0
Time=215000 | clk=1 | x=1 | y=0 | ce=0 | op=10 | reset=0 * out=0
Time=220000 | clk=0 | x=1 | y=0 | ce=1 | op=10 | reset=0 * out=0
Time=225000 | clk=1 | x=1 | y=0 | ce=1 | op=10 | reset=0 * out=0
Time=230000 | clk=0 | x=1 | y=1 | ce=0 | op=10 | reset=0 * out=1
Time=235000 | clk=1 | x=1 | y=1 | ce=0 | op=10 | reset=0 * out=1
Time=240000 | clk=0 | x=1 | y=1 | ce=1 | op=10 | reset=0 * out=1
Time=245000 | clk=1 | x=1 | y=1 | ce=1 | op=10 | reset=0 * out=1
Time=250000 | clk=0 | x=0 | y=0 | ce=1 | op=11 | reset=0 * out=0
Time=255000 | clk=1 | x=0 | y=0 | ce=1 | op=11 | reset=0 * out=0
Time=260000 | clk=0 | x=0 | y=0 | ce=0 | op=11 | reset=0 * out=0
Time=265000 | clk=1 | x=0 | y=0 | ce=0 | op=11 | reset=0 * out=0
Time=270000 | clk=0 | x=0 | y=1 | ce=0 | op=11 | reset=0 * out=1
Time=275000 | clk=1 | x=0 | y=1 | ce=0 | op=11 | reset=0 * out=1
Time=280000 | clk=0 | x=0 | y=1 | ce=1 | op=11 | reset=0 * out=1
Time=285000 | clk=1 | x=0 | y=1 | ce=1 | op=11 | reset=0 * out=0
Time=290000 | clk=0 | x=1 | y=0 | ce=0 | op=11 | reset=0 * out=0
Time=295000 | clk=1 | x=1 | y=0 | ce=0 | op=11 | reset=0 * out=0
Time=300000 | clk=0 | x=1 | y=0 | ce=1 | op=11 | reset=0 * out=0
Time=305000 | clk=1 | x=1 | y=0 | ce=1 | op=11 | reset=0 * out=1
Time=310000 | clk=0 | x=1 | y=1 | ce=0 | op=11 | reset=0 * out=0
Time=315000 | clk=1 | x=1 | y=1 | ce=0 | op=11 | reset=0 * out=0
Time=320000 | clk=0 | x=1 | y=1 | ce=1 | op=11 | reset=0 * out=0
Time=325000 | clk=1 | x=1 | y=1 | ce=1 | op=11 | reset=0 * out=0
Time=330000 | clk=0 | x=1 | y=1 | ce=1 | op=11 | reset=0 * out=0
