Time=0 | clk=0 | dir=000 | lvl=000 | cap=0 | loc=0 * out=0
Time=5000 | clk=1 | dir=000 | lvl=000 | cap=0 | loc=0 * out=0
Time=10000 | clk=1 | dir=000 | lvl=000 | cap=0 | loc=0 * out=0
Time=10000 | clk=0 | dir=000 | lvl=000 | cap=0 | loc=1 * out=1
Time=15000 | clk=1 | dir=000 | lvl=000 | cap=0 | loc=1 * out=1
Time=20000 | clk=1 | dir=000 | lvl=000 | cap=0 | loc=1 * out=1
Time=20000 | clk=0 | dir=000 | lvl=000 | cap=1 | loc=0 * out=0
Time=25000 | clk=1 | dir=000 | lvl=000 | cap=1 | loc=0 * out=0
Time=30000 | clk=1 | dir=000 | lvl=000 | cap=1 | loc=0 * out=0
Time=30000 | clk=0 | dir=000 | lvl=000 | cap=1 | loc=1 * out=1
Time=35000 | clk=1 | dir=000 | lvl=000 | cap=1 | loc=1 * out=1
Time=40000 | clk=1 | dir=000 | lvl=000 | cap=1 | loc=1 * out=1
Time=40000 | clk=0 | dir=000 | lvl=001 | cap=0 | loc=0 * out=0
Time=45000 | clk=1 | dir=000 | lvl=001 | cap=0 | loc=0 * out=0
Time=50000 | clk=1 | dir=000 | lvl=001 | cap=0 | loc=0 * out=0
Time=50000 | clk=0 | dir=000 | lvl=010 | cap=0 | loc=1 * out=1
Time=55000 | clk=1 | dir=000 | lvl=010 | cap=0 | loc=1 * out=1
Time=60000 | clk=1 | dir=000 | lvl=010 | cap=0 | loc=1 * out=1
Time=60000 | clk=0 | dir=000 | lvl=011 | cap=1 | loc=0 * out=0
Time=65000 | clk=1 | dir=000 | lvl=011 | cap=1 | loc=0 * out=0
Time=70000 | clk=1 | dir=000 | lvl=011 | cap=1 | loc=0 * out=0
Time=70000 | clk=0 | dir=000 | lvl=100 | cap=1 | loc=1 * out=1
Time=75000 | clk=1 | dir=000 | lvl=100 | cap=1 | loc=1 * out=1
Time=80000 | clk=1 | dir=000 | lvl=100 | cap=1 | loc=1 * out=1
Time=80000 | clk=0 | dir=001 | lvl=000 | cap=0 | loc=0 * out=0
Time=85000 | clk=1 | dir=001 | lvl=000 | cap=0 | loc=0 * out=0
Time=90000 | clk=1 | dir=001 | lvl=000 | cap=0 | loc=0 * out=0
Time=90000 | clk=0 | dir=001 | lvl=001 | cap=0 | loc=1 * out=1
Time=95000 | clk=1 | dir=001 | lvl=001 | cap=0 | loc=1 * out=1
Time=100000 | clk=1 | dir=001 | lvl=001 | cap=0 | loc=1 * out=1
Time=100000 | clk=0 | dir=001 | lvl=010 | cap=1 | loc=0 * out=0
Time=105000 | clk=1 | dir=001 | lvl=010 | cap=1 | loc=0 * out=0
Time=110000 | clk=1 | dir=001 | lvl=010 | cap=1 | loc=0 * out=0
Time=110000 | clk=0 | dir=001 | lvl=011 | cap=1 | loc=1 * out=1
Time=115000 | clk=1 | dir=001 | lvl=011 | cap=1 | loc=1 * out=1
Time=120000 | clk=1 | dir=001 | lvl=011 | cap=1 | loc=1 * out=1
Time=120000 | clk=0 | dir=010 | lvl=000 | cap=0 | loc=0 * out=x
Time=125000 | clk=1 | dir=010 | lvl=000 | cap=0 | loc=0 * out=x
Time=130000 | clk=1 | dir=010 | lvl=000 | cap=0 | loc=0 * out=x
Time=130000 | clk=0 | dir=010 | lvl=001 | cap=0 | loc=1 * out=x
Time=135000 | clk=1 | dir=010 | lvl=001 | cap=0 | loc=1 * out=x
Time=140000 | clk=1 | dir=010 | lvl=001 | cap=0 | loc=1 * out=x
Time=140000 | clk=0 | dir=010 | lvl=010 | cap=1 | loc=0 * out=x
Time=145000 | clk=1 | dir=010 | lvl=010 | cap=1 | loc=0 * out=x
Time=150000 | clk=1 | dir=010 | lvl=010 | cap=1 | loc=0 * out=x
Time=150000 | clk=0 | dir=010 | lvl=011 | cap=1 | loc=1 * out=x
Time=155000 | clk=1 | dir=010 | lvl=011 | cap=1 | loc=1 * out=x
Time=160000 | clk=1 | dir=010 | lvl=011 | cap=1 | loc=1 * out=x
Time=160000 | clk=0 | dir=011 | lvl=100 | cap=0 | loc=0 * out=x
Time=165000 | clk=1 | dir=011 | lvl=100 | cap=0 | loc=0 * out=x
Time=170000 | clk=1 | dir=011 | lvl=100 | cap=0 | loc=0 * out=x
Time=170000 | clk=0 | dir=011 | lvl=101 | cap=0 | loc=1 * out=x
Time=175000 | clk=1 | dir=011 | lvl=101 | cap=0 | loc=1 * out=x
Time=180000 | clk=1 | dir=011 | lvl=101 | cap=0 | loc=1 * out=x
Time=180000 | clk=0 | dir=011 | lvl=110 | cap=1 | loc=0 * out=x
Time=185000 | clk=1 | dir=011 | lvl=110 | cap=1 | loc=0 * out=x
Time=190000 | clk=1 | dir=011 | lvl=110 | cap=1 | loc=0 * out=x
Time=190000 | clk=0 | dir=011 | lvl=111 | cap=1 | loc=1 * out=x
Time=195000 | clk=1 | dir=011 | lvl=111 | cap=1 | loc=1 * out=x
Time=200000 | clk=1 | dir=011 | lvl=111 | cap=1 | loc=1 * out=x
Time=200000 | clk=0 | dir=100 | lvl=100 | cap=0 | loc=0 * out=x
Time=205000 | clk=1 | dir=100 | lvl=100 | cap=0 | loc=0 * out=x
Time=210000 | clk=1 | dir=100 | lvl=100 | cap=0 | loc=0 * out=x
Time=210000 | clk=0 | dir=100 | lvl=101 | cap=0 | loc=1 * out=x
Time=215000 | clk=1 | dir=100 | lvl=101 | cap=0 | loc=1 * out=x
Time=220000 | clk=1 | dir=100 | lvl=101 | cap=0 | loc=1 * out=x
Time=220000 | clk=0 | dir=100 | lvl=110 | cap=1 | loc=0 * out=x
Time=225000 | clk=1 | dir=100 | lvl=110 | cap=1 | loc=0 * out=x
Time=230000 | clk=1 | dir=100 | lvl=110 | cap=1 | loc=0 * out=x
Time=230000 | clk=0 | dir=100 | lvl=111 | cap=1 | loc=1 * out=x
Time=235000 | clk=1 | dir=100 | lvl=111 | cap=1 | loc=1 * out=x
Time=240000 | clk=1 | dir=100 | lvl=111 | cap=1 | loc=1 * out=x
Time=240000 | clk=0 | dir=101 | lvl=000 | cap=0 | loc=0 * out=x
Time=245000 | clk=1 | dir=101 | lvl=000 | cap=0 | loc=0 * out=x
Time=250000 | clk=1 | dir=101 | lvl=000 | cap=0 | loc=0 * out=x
Time=250000 | clk=0 | dir=101 | lvl=001 | cap=0 | loc=1 * out=x
Time=255000 | clk=1 | dir=101 | lvl=001 | cap=0 | loc=1 * out=x
Time=260000 | clk=1 | dir=101 | lvl=001 | cap=0 | loc=1 * out=x
Time=260000 | clk=0 | dir=101 | lvl=010 | cap=1 | loc=0 * out=x
Time=265000 | clk=1 | dir=101 | lvl=010 | cap=1 | loc=0 * out=x
Time=270000 | clk=1 | dir=101 | lvl=010 | cap=1 | loc=0 * out=x
Time=270000 | clk=0 | dir=101 | lvl=011 | cap=1 | loc=1 * out=x
Time=275000 | clk=1 | dir=101 | lvl=011 | cap=1 | loc=1 * out=x
Time=280000 | clk=1 | dir=101 | lvl=011 | cap=1 | loc=1 * out=x
Time=280000 | clk=0 | dir=110 | lvl=100 | cap=0 | loc=0 * out=x
Time=285000 | clk=1 | dir=110 | lvl=100 | cap=0 | loc=0 * out=x
Time=290000 | clk=1 | dir=110 | lvl=100 | cap=0 | loc=0 * out=x
Time=290000 | clk=0 | dir=110 | lvl=101 | cap=0 | loc=1 * out=x
Time=295000 | clk=1 | dir=110 | lvl=101 | cap=0 | loc=1 * out=x
Time=300000 | clk=1 | dir=110 | lvl=101 | cap=0 | loc=1 * out=x
Time=300000 | clk=0 | dir=111 | lvl=110 | cap=1 | loc=0 * out=x
Time=305000 | clk=1 | dir=111 | lvl=110 | cap=1 | loc=0 * out=x
Time=310000 | clk=1 | dir=111 | lvl=110 | cap=1 | loc=0 * out=x
Time=310000 | clk=0 | dir=111 | lvl=111 | cap=1 | loc=1 * out=x
Time=315000 | clk=1 | dir=111 | lvl=111 | cap=1 | loc=1 * out=x
Time=320000 | clk=1 | dir=111 | lvl=111 | cap=1 | loc=1 * out=x
Time=320000 | clk=0 | dir=111 | lvl=111 | cap=1 | loc=1 * out=x
