time=0. | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=1.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=2.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=3.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=4.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=5.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=6.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=7.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=8.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=9.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=1.0 | out=0.0001 | 
time=10.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=11.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=12.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=13.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=14.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=15.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=16.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=17.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=18.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=19.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=20.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=21.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=22.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=23.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=24.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=25.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=26.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=27.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=28.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=29.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=0.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=30.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=31.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=32.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=33.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=34.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=35.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=36.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=37.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=38.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=39.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=40.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=41.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=42.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=43.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=44.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=45.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=46.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=47.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=48.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=49.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=0.0 | y=1.0 | ce=1.0 | reset=0.0 | out=0.0001 | 
time=50.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=51.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=52.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=53.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=54.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=0.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
time=55.00000n | op_bus0_=0.0 | op_bus1_=0.0 | clk=1.0 | x=1.0 | y=0.0 | ce=0.0 | reset=0.0 | out=0.0001 | 
