Time=0 | clk=0 | rf_portA=0001000111100010 | rf_portB=0000001011100010 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0001000111100010 | opnY=0000001011100010
Time=5000 | clk=1 | rf_portA=0001000111100010 | rf_portB=0000001011100010 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0001000111100010 | opnY=0000001011100010
Time=10000 | clk=0 | rf_portA=1010011010010010 | rf_portB=0100001000001001 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1010011010010010 | opnY=0100001000001001
Time=15000 | clk=1 | rf_portA=1010011010010010 | rf_portB=0100001000001001 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1010011010010010 | opnY=0100001000001001
Time=20000 | clk=0 | rf_portA=0111000011000100 | rf_portB=0100010110101111 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0111000011000100 | opnY=0100010110101111
Time=25000 | clk=1 | rf_portA=0111000011000100 | rf_portB=0100010110101111 | net_stream=0 | confSig=001 | confLoad=0 * opnX=0111000011000100 | opnY=0100010110101111
Time=30000 | clk=0 | rf_portA=1000010011000000 | rf_portB=1100111000001101 | net_stream=0 | confSig=100 | confLoad=0 * opnX=1000010011000000 | opnY=1100111000001101
Time=35000 | clk=1 | rf_portA=1000010011000000 | rf_portB=1100111000001101 | net_stream=0 | confSig=100 | confLoad=0 * opnX=1000010011000000 | opnY=1100111000001101
Time=40000 | clk=0 | rf_portA=1100101111110001 | rf_portB=1100000001110001 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1100101111110001 | opnY=1100000001110001
Time=45000 | clk=1 | rf_portA=1100101111110001 | rf_portB=1100000001110001 | net_stream=0 | confSig=000 | confLoad=0 * opnX=1100101111110001 | opnY=1100000001110001
Time=50000 | clk=0 | rf_portA=1011110011011001 | rf_portB=0111010110100100 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1011110011011001 | opnY=0111010110100100
Time=55000 | clk=1 | rf_portA=1011110011011001 | rf_portB=0111010110100100 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1011110011011001 | opnY=0111010110100100
Time=60000 | clk=0 | rf_portA=0000100111000001 | rf_portB=0011001011101001 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0000100111000001 | opnY=0011001011101001
Time=65000 | clk=1 | rf_portA=0000100111000001 | rf_portB=0011001011101001 | net_stream=0 | confSig=111 | confLoad=0 * opnX=0000100111000001 | opnY=0011001011101001
Time=70000 | clk=0 | rf_portA=0000100011101011 | rf_portB=0100001011001000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0000100011101011 | opnY=0100001011001000
Time=75000 | clk=1 | rf_portA=0000100011101011 | rf_portB=0100001011001000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0000100011101011 | opnY=0100001011001000
Time=80000 | clk=0 | rf_portA=1101100001110010 | rf_portB=1000110011011100 | net_stream=0 | confSig=100 | confLoad=0 * opnX=1101100001110010 | opnY=1000110011011100
Time=85000 | clk=1 | rf_portA=1101100001110010 | rf_portB=1000110011011100 | net_stream=0 | confSig=100 | confLoad=0 * opnX=1101100001110010 | opnY=1000110011011100
Time=90000 | clk=0 | rf_portA=1000000011110001 | rf_portB=1000111111000111 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1000000011110001 | opnY=1000111111000111
Time=95000 | clk=1 | rf_portA=1000000011110001 | rf_portB=1000111111000111 | net_stream=0 | confSig=110 | confLoad=0 * opnX=1000000011110001 | opnY=1000111111000111
Time=100000 | clk=0 | rf_portA=1111001101100010 | rf_portB=1001010010111101 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1111001101100010 | opnY=1001010010111101
Time=105000 | clk=1 | rf_portA=1111001101100010 | rf_portB=1001010010111101 | net_stream=0 | confSig=010 | confLoad=0 * opnX=1111001101100010 | opnY=1001010010111101
Time=110000 | clk=0 | rf_portA=1011110001110001 | rf_portB=0011011111111000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1011110001110001 | opnY=0011011111111000
Time=115000 | clk=1 | rf_portA=1011110001110001 | rf_portB=0011011111111000 | net_stream=0 | confSig=011 | confLoad=0 * opnX=1011110001110001 | opnY=0011011111111000
Time=120000 | clk=0 | rf_portA=0101110000000100 | rf_portB=1001101000010101 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0101110000000100 | opnY=1001101000010101
Time=125000 | clk=1 | rf_portA=0101110000000100 | rf_portB=1001101000010101 | net_stream=0 | confSig=011 | confLoad=0 * opnX=0101110000000100 | opnY=1001101000010101
